,prop,name,url,east,north,uarn,descrip,nav,rv,effdate,category,postcode,lattitude,longitude
1826,ALLERDYCE HEALTH CARE,"12 TOM JOHNSTON ROAD, WEST PITKERRO INDUSTRIAL EST, DUNDEE, DD4 8XD",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=302290&PPRN=302290&ASSESSOR_IDX=14#results,345767,732457,302290,WAREHOUSE & SHOWROOM,"&pound;46,600","&pound;46,600",01/04/2023,Industrial,DD4 8XD,56.4810746,-2.88212983
1827,MR & MRS B WILLIAMS & COLIN MURRAY,"(1-5), 13 MAINS LOAN, DUNDEE, DD4 7AB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=077437&PPRN=077437&ASSESSOR_IDX=14#results,341161,731683,77437,LOCK-UP GARAGE,"&pound;2,450","&pound;2,450",01/04/2023,Industrial,DD4 7AB,56.47356822,-2.95672641
1828,BRADLEY MATHER T/A DURA STREET MOTORS,"14-18 DURA STREET, DUNDEE, DD4 6RX",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=077246&PPRN=077246&ASSESSOR_IDX=14#results,340869,731351,77246,WORKSHOP & STORE,"&pound;11,600","&pound;11,600",01/04/2023,Industrial,DD4 6RX,56.47054931,-2.96139019
1829,TAYSIDE WINDOW BLINDS LTD,"14 TOM JOHNSTON ROAD, WEST PITKERRO INDUSTRIAL EST, DUNDEE, DD4 8XD",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=301012&PPRN=301012&ASSESSOR_IDX=14#results,345804,732485,301012,WORKSHOP & OFFICE,"&pound;31,800","&pound;31,800",01/04/2023,Industrial,DD4 8XD,56.48133038,-2.88153503
1830,GEORGE B GRANT T/A G B GRANT (BLACKSMITH),"16 FORFAR ROAD, DUNDEE, DD4 7AS",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=077466&PPRN=077466&ASSESSOR_IDX=14#results,341182,731715,77466,WORKSHOP,"&pound;4,150","&pound;4,150",01/04/2023,Industrial,DD4 7AS,56.4738583,-2.95639283
1831,YOUR EQUIPMENT SOLUTIONS LTD,"16B TOM JOHNSTON ROAD, WEST PITKERRO INDUSTRIAL EST, DUNDEE, DD4 8XD",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=302292&PPRN=302292&ASSESSOR_IDX=14#results,345792,732517,302292,WAREHOUSE & SHOWROOM,"&pound;32,900","&pound;32,900",01/04/2023,Industrial,DD4 8XD,56.48161645,-2.88173651
1832,SEAN REILLY CONSTRUCTION LTD,"18 TOM JOHNSTON ROAD, WEST PITKERRO INDUSTRIAL EST, DUNDEE, DD4 8XD",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=327645&PPRN=327645&ASSESSOR_IDX=14#results,345730,732589,327645,YARD,"&pound;9,000","&pound;9,000",01/04/2023,Industrial,DD4 8XD,56.48225607,-2.88275804
1833,DUNDEE CITY COUNCIL,"19 MAITLAND STREET, DUNDEE, DD4 6RN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=760665&PPRN=760665&ASSESSOR_IDX=14#results,341007,731377,760665,DEPOT,"&pound;9,000","&pound;9,000",01/04/2023,Industrial,DD4 6RN,56.47080021,-2.95915648
1834,TLA HOUSING SERVICES LTD,"20 ERSKINE STREET, DUNDEE, DD4 6RQ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=043936&PPRN=043936&ASSESSOR_IDX=14#results,340962,731132,43936,STORE,"&pound;1,650","&pound;1,650",01/04/2023,Industrial,DD4 6RQ,56.4685938,-2.95983119
1835,BROOKE REID T/A FREYAS WISH,"1ST FLOOR, 20-24 DURA STREET, DUNDEE, DD4 6RX",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307338&PPRN=307338&ASSESSOR_IDX=14#results,340896,731356,307338,WAREHOUSE & OFFICE,"&pound;1,800","&pound;1,800",01/04/2023,Industrial,DD4 6RX,56.47059761,-2.96095315
1836,DUNDEE MUSEUM OF TRANSPORT,"FORMER MARYFIELD TRAM DEPOT, 25A FORFAR ROAD, DUNDEE, DD4 7BD",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=312062&PPRN=312062&ASSESSOR_IDX=14#results,341438,732006,312062,DEPOT,&pound;0,&pound;0,01/04/2023,Industrial,DD4 7BD,56.47650425,-2.95230335
1837,OMER AFSIN T/A HAIR FORCE,"28 OGILVIE STREET, DUNDEE, DD4 6SE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=078149&PPRN=078149&ASSESSOR_IDX=14#results,340791,731515,78149,STORE,"&pound;4,350","&pound;4,350",01/04/2023,Industrial,DD4 6SE,56.47201264,-2.9626934
1838,STELLA SMALL,"67 BROUGHTY FERRY ROAD, DUNDEE, DD4 6JE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=047548&PPRN=047548&ASSESSOR_IDX=14#results,341489,730890,47548,WORKSHOP,"&pound;1,350","&pound;1,350",01/04/2023,Industrial,DD4 6JE,56.46648596,-2.95122451
1839,STOBMUIR ENTERPRISES LTD,"69A VICTORIA STREET, DUNDEE, DD4 6EA",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=301007&PPRN=301007&ASSESSOR_IDX=14#results,340894,731056,301007,STORE,"&pound;6,600","&pound;6,600",01/04/2023,Industrial,DD4 6EA,56.46790256,-2.96091744
1840,ROBERTSON CONSTRUCTION TAYSIDE LTD,"EAST END CAMPUS, 84 DRUMGEITH ROAD, DUNDEE, DD4 0NX",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=329360&PPRN=329360&ASSESSOR_IDX=14#results,343489,732839,329360,CONTRACTORS' HUTS,"&pound;36,200","&pound;36,200",01/08/2023,Industrial,DD4 0NX,56.48423802,-2.91919314
1841,CALUM MCKAY T/A HECTYRE,"95 CLEPINGTON ROAD, DUNDEE, DD4 7DF",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=075005&PPRN=075005&ASSESSOR_IDX=14#results,341044,732118,75005,WORKSHOP,"&pound;5,900","&pound;5,900",01/04/2023,Industrial,DD4 7DF,56.47746105,-2.95872399
1842,GERARD JOYCE,"98 ALBERT STREET, DUNDEE, DD4 6QH",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=329215&PPRN=329215&ASSESSOR_IDX=14#results,341104,731333,329215,YARD,"&pound;5,100","&pound;5,100",01/04/2023,Industrial,DD4 6QH,56.47041716,-2.9575723
1843,ROY DUNCAN  T/A A2B CONTAINERS LTD ,"99 CLEPINGTON ROAD, DUNDEE, DD4 7DF",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=786562&PPRN=786562&ASSESSOR_IDX=14#results,341014,732126,786562,YARD,"&pound;4,950","&pound;4,950",11/07/2024,Industrial,DD4 7DF,56.47752915,-2.95921276
1844,JAMES MCPHEE,"UNIT A, 106 FINTRY ROAD, DUNDEE, DD4 9EZ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=070170&PPRN=070170&ASSESSOR_IDX=14#results,342168,733410,70170,STORE & YARD,"&pound;4,750","&pound;4,750",01/04/2023,Industrial,DD4 9EZ,56.48920644,-2.94076639
1845,MARK ABBOTT,"UNIT B, 106 FINTRY ROAD, DUNDEE, DD4 9EZ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=309021&PPRN=309021&ASSESSOR_IDX=14#results,342191,733431,309021,WORKSHOP & YARD,"&pound;6,000","&pound;6,000",01/04/2023,Industrial,DD4 9EZ,56.4893979,-2.9403976
1846,MIKE ABBOT,"UNIT C, 106 FINTRY ROAD, DUNDEE, DD4 9EZ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=310001&PPRN=310001&ASSESSOR_IDX=14#results,342203,733429,310001,WORKSHOP,"&pound;4,850","&pound;4,850",01/04/2023,Industrial,DD4 9EZ,56.48938141,-2.94020232
1847,HUMZA A JAVED & MUHAMMED M AZHAR T/A AMA PRO CAR WASH,"135 BROUGHTY FERRY ROAD, DUNDEE, DD4 7JW",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=047564&PPRN=047564&ASSESSOR_IDX=14#results,342580,731089,47564,CAR WASH,"&pound;6,000","&pound;6,000",01/04/2023,Industrial,DD4 7JW,56.46840813,-2.9335644
1848,BARNARDO'S,"UNIT 3 & 4, 142 ARBROATH ROAD, DUNDEE, DD4 7PU",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=309062&PPRN=309062&ASSESSOR_IDX=14#results,342851,731645,309062,WAREHOUSE & SHOWROOM,"&pound;27,600","&pound;27,600",01/04/2023,Industrial,DD4 7PU,56.47343556,-2.92928868
1849,G M VEHICLE SOLUTIONS LTD,"172 ARBROATH ROAD, DUNDEE, DD4 7PY",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=073719&PPRN=073719&ASSESSOR_IDX=14#results,343064,731686,73719,YARD,"&pound;5,700","&pound;5,700",01/04/2023,Industrial,DD4 7PY,56.47382973,-2.92584059
1850,BOOTS UK LTD,"1/2, 213 ALBERT STREET, DUNDEE, DD4 6QA",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=045396&PPRN=045396&ASSESSOR_IDX=14#results,341187,731570,45396,STORE,"&pound;1,850","&pound;1,850",01/04/2023,Industrial,DD4 6QA,56.47255644,-2.95627888
1851,ARBROATHROADAUTOS LTD,"217 ARBROATH ROAD, DUNDEE, DD4 7JU",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=047340&PPRN=047340&ASSESSOR_IDX=14#results,342462,731462,47340,WORKSHOP,"&pound;5,700","&pound;5,700",01/04/2023,Industrial,DD4 7JU,56.47174423,-2.93556179
1852,INGLESIDE PARTNERSHIP,"BASEMENT, 310 BROUGHTY FERRY ROAD, DUNDEE, DD4 7NJ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=314149&PPRN=314149&ASSESSOR_IDX=14#results,343163,731129,314149,STORE,"&pound;1,000","&pound;1,000",01/04/2023,Industrial,DD4 7NJ,56.4688383,-2.92411212
1853,INGLESIDE PARTNERSHIP,"BASEMENT, 310 BROUGHTY FERRY ROAD, DUNDEE, DD4 7NJ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=314150&PPRN=314150&ASSESSOR_IDX=14#results,343163,731129,314150,STORE,&pound;300,&pound;300,01/04/2023,Industrial,DD4 7NJ,56.4688383,-2.92411212
1854,INGLESIDE PARTNERSHIP,"BASEMENT, 310 BROUGHTY FERRY ROAD, DUNDEE, DD4 7NJ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=314151&PPRN=314151&ASSESSOR_IDX=14#results,343163,731129,314151,WORKSHOP,"&pound;1,300","&pound;1,300",01/04/2023,Industrial,DD4 7NJ,56.4688383,-2.92411212
1855,DISCOVERY FLEXIBLES LTD,"WELLFIELD WORKS, KEMBACK STREET, DUNDEE, DD4 6PQ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=046218&PPRN=046218&ASSESSOR_IDX=14#results,341239,731318,46218,FACTORY,"&pound;127,000","&pound;127,000",01/04/2023,Industrial,DD4 6PQ,56.47029932,-2.95537799
1856,ROBERT ADAMS,"NORAN AVENUE &, GREENDYKES ROAD, DUNDEE, DD4 7ND",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=050207&PPRN=050207&ASSESSOR_IDX=14#results,342842,731188,50207,STORE,&pound;880,&pound;880,01/04/2023,Industrial,DD4 7ND,56.46932936,-2.92933436
1857,CALEDONIA HOUSING ASSOCIATION,"CONTRACTORS' HUTS, BALLINDEAN ROAD, DUNDEE, DD4 8NJ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=058673&PPRN=058673&ASSESSOR_IDX=14#results,343374,732134,58673,CONTRACTORS' HUTS,"&pound;3,400","&pound;3,400",01/04/2023,Industrial,DD4 8NJ,56.47789141,-2.92090664
1858,EAST DUNDEE ENVIRONMENT NETWORK,"DEPOT, BALUNIE DRIVE, DUNDEE, DD4 8UX",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=061305&PPRN=061305&ASSESSOR_IDX=14#results,345107,732356,61305,DEPOT,"&pound;1,450","&pound;1,450",01/04/2023,Industrial,DD4 8UX,56.48009084,-2.8928228
1859,MICHELIN SCOTLAND INNOVATION PARC LTD (MSIP),"FACTORY, BALDOVIE ROAD, DUNDEE, DD4 8UQ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=062402&PPRN=062402&ASSESSOR_IDX=14#results,345154,732713,62402,FACTORY,"&pound;1,200,000","&pound;1,200,000",01/09/2023,Industrial,DD4 8UQ,56.48330317,-2.89213515
1860,HARRY LAWSON LTD,"BALUNIEFIELD, NORTH SIDE OF, BALUNIE DRIVE, DUNDEE, DD4 8UX",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=062411&PPRN=062411&ASSESSOR_IDX=14#results,344729,732518,62411,DEPOT,"&pound;99,400","&pound;99,400",01/04/2023,Industrial,DD4 8UX,56.48150182,-2.89899345
1861,AMBIPAR RESPONSE LTD,"BALUNIEFIELD, NORTH SIDE OF, BALUNIE DRIVE, DUNDEE, DD4 8UX",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD4&ASSESSOR_ID=tayside&CLASS=0005&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=062412&PPRN=062412&ASSESSOR_IDX=14#results,345110,732429,62412,WAREHOUSE,"&pound;25,900","&pound;25,900",01/04/2023,Industrial,DD4 8UX,56.48074693,-2.89278951
